ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:50:46, -0.020, -0.020, 6.280, 0.697, 156.575
1, 19:50:47, 0.000, -0.020, 6.259, 0.704, 185.609
2, 19:50:47, 0.020, -0.020, 6.281, 0.698, 113.470
3, 19:50:48, -0.020, 0.000, 6.281, 0.656, 123.764
4, 19:50:49, 0.000, 0.000, 6.255, 0.621, 129.396
5, 19:50:50, 0.020, 0.000, 6.283, 0.694, 154.578
6, 19:50:51, -0.020, 0.020, 6.290, 0.662, 136.636
7, 19:50:52, 0.000, 0.020, 6.266, 0.688, 120.701
8, 19:50:53, 0.020, 0.020, 6.296, 0.655, 109.009
