ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:35:58, -0.020, -0.020, 6.307, 0.710, 230.192
1, 14:35:59, 0.000, -0.020, 6.320, 0.808, 154.982
2, 14:36:00, 0.020, -0.020, 6.299, 0.731, 196.241
3, 14:36:01, -0.020, 0.000, 6.305, 0.733, 169.481
4, 14:36:02, 0.000, 0.000, 6.288, 0.752, 212.670
5, 14:36:03, 0.020, 0.000, 6.312, 0.736, 199.183
6, 14:36:04, -0.020, 0.020, 6.263, 0.712, 321.746
7, 14:36:04, 0.000, 0.020, 6.292, 0.715, 259.129
8, 14:36:05, 0.020, 0.020, 6.280, 0.760, 225.415
