ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:57:20, -0.020, -0.020, 6.385, 0.753, 429.645
1, 17:57:21, 0.000, -0.020, 6.372, 0.740, 433.450
2, 17:57:22, 0.020, -0.020, 6.357, 0.752, 431.903
3, 17:57:23, -0.020, 0.000, 6.353, 0.710, 433.570
4, 17:57:24, 0.000, 0.000, 6.365, 0.719, 445.111
5, 17:57:25, 0.020, 0.000, 6.333, 0.732, 427.612
6, 17:57:25, -0.020, 0.020, 6.347, 0.730, 452.569
7, 17:57:26, 0.000, 0.020, 6.361, 0.779, 435.779
8, 17:57:27, 0.020, 0.020, 6.370, 0.747, 442.996
