ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:48:05, -0.020, -0.020, 6.319, 0.674, 456.005
1, 17:48:06, 0.000, -0.020, 6.327, 0.690, 430.210
2, 17:48:07, 0.020, -0.020, 6.328, 0.709, 428.600
3, 17:48:08, -0.020, 0.000, 6.335, 0.690, 440.893
4, 17:48:09, 0.000, 0.000, 6.325, 0.683, 454.253
5, 17:48:10, 0.020, 0.000, 6.337, 0.659, 468.236
6, 17:48:10, -0.020, 0.020, 6.336, 0.687, 467.637
7, 17:48:11, 0.000, 0.020, 6.322, 0.683, 488.289
8, 17:48:12, 0.020, 0.020, 6.343, 0.673, 481.261
