ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:58:03, -0.020, -0.020, 6.418, 0.812, 394.836
1, 17:58:04, 0.000, -0.020, 6.396, 0.785, 416.048
2, 17:58:05, 0.020, -0.020, 6.393, 0.832, 410.216
3, 17:58:06, -0.020, 0.000, 6.369, 0.790, 374.446
4, 17:58:06, 0.000, 0.000, 6.376, 0.788, 327.733
5, 17:58:07, 0.020, 0.000, 6.353, 0.761, 361.054
6, 17:58:08, -0.020, 0.020, 6.368, 0.802, 432.194
7, 17:58:09, 0.000, 0.020, 6.376, 0.816, 395.697
8, 17:58:10, 0.020, 0.020, 6.375, 0.795, 393.734
