ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:49:03, -0.020, -0.020, 6.344, 0.757, 225.188
1, 19:49:04, 0.000, -0.020, 6.368, 0.789, 257.969
2, 19:49:05, 0.020, -0.020, 6.344, 0.720, 242.884
3, 19:49:05, -0.020, 0.000, 6.341, 0.740, 233.328
4, 19:49:06, 0.000, 0.000, 6.328, 0.725, 244.639
5, 19:49:07, 0.020, 0.000, 6.378, 0.775, 240.706
6, 19:49:08, -0.020, 0.020, 6.303, 0.675, 256.981
7, 19:49:09, 0.000, 0.020, 6.318, 0.692, 223.616
8, 19:49:10, 0.020, 0.020, 6.354, 0.716, 241.774
