ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:35:07, -0.020, -0.020, 6.333, 0.825, 283.933
1, 14:35:08, 0.000, -0.020, 6.385, 0.847, 216.232
2, 14:35:09, 0.020, -0.020, 6.333, 0.745, 253.092
3, 14:35:10, -0.020, 0.000, 6.325, 0.741, 224.990
4, 14:35:11, 0.000, 0.000, 6.302, 0.737, 321.143
5, 14:35:12, 0.020, 0.000, 6.394, 0.846, 244.558
6, 14:35:12, -0.020, 0.020, 6.325, 0.742, 403.082
7, 14:35:13, 0.000, 0.020, 6.318, 0.776, 355.894
8, 14:35:14, 0.020, 0.020, 6.326, 0.806, 231.086
