ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:47:20, -0.020, -0.020, 6.323, 0.690, 327.371
1, 19:47:21, 0.000, -0.020, 6.331, 0.695, 328.953
2, 19:47:22, 0.020, -0.020, 6.345, 0.666, 341.910
3, 19:47:23, -0.020, 0.000, 6.328, 0.690, 321.539
4, 19:47:24, 0.000, 0.000, 6.317, 0.674, 307.818
5, 19:47:25, 0.020, 0.000, 6.332, 0.703, 289.333
6, 19:47:25, -0.020, 0.020, 6.336, 0.647, 292.412
7, 19:47:26, 0.000, 0.020, 6.346, 0.673, 294.102
8, 19:47:27, 0.020, 0.020, 6.330, 0.679, 305.808
