ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:59:54, -0.020, -0.020, 6.284, 0.719, 328.642
1, 17:59:55, 0.000, -0.020, 6.279, 0.706, 246.623
2, 17:59:56, 0.020, -0.020, 6.269, 0.696, 280.434
3, 17:59:57, -0.020, 0.000, 6.270, 0.723, 283.050
4, 17:59:58, 0.000, 0.000, 6.296, 0.705, 162.386
5, 17:59:59, 0.020, 0.000, 6.270, 0.682, 269.369
6, 18:00:00, -0.020, 0.020, 6.278, 0.698, 322.003
7, 18:00:01, 0.000, 0.020, 6.252, 0.686, 283.042
8, 18:00:02, 0.020, 0.020, 6.288, 0.711, 199.670
