ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:50:20, -0.020, -0.020, 6.277, 0.756, 182.887
1, 19:50:21, 0.000, -0.020, 6.269, 0.736, 224.512
2, 19:50:22, 0.020, -0.020, 6.278, 0.662, 158.867
3, 19:50:23, -0.020, 0.000, 6.306, 0.705, 174.589
4, 19:50:23, 0.000, 0.000, 6.275, 0.672, 175.580
5, 19:50:24, 0.020, 0.000, 6.290, 0.719, 179.143
6, 19:50:25, -0.020, 0.020, 6.274, 0.690, 152.700
7, 19:50:26, 0.000, 0.020, 6.288, 0.692, 129.360
8, 19:50:27, 0.020, 0.020, 6.298, 0.693, 144.357
