ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:48:54, -0.020, -0.020, 6.357, 0.756, 259.335
1, 19:48:55, 0.000, -0.020, 6.372, 0.788, 295.324
2, 19:48:56, 0.020, -0.020, 6.332, 0.736, 288.724
3, 19:48:57, -0.020, 0.000, 6.333, 0.745, 262.060
4, 19:48:58, 0.000, 0.000, 6.315, 0.695, 279.879
5, 19:48:59, 0.020, 0.000, 6.375, 0.778, 260.884
6, 19:49:00, -0.020, 0.020, 6.325, 0.665, 264.212
7, 19:49:00, 0.000, 0.020, 6.318, 0.710, 234.549
8, 19:49:01, 0.020, 0.020, 6.344, 0.759, 236.472
