ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:48:56, -0.020, -0.020, 6.340, 0.677, 503.995
1, 17:48:57, 0.000, -0.020, 6.352, 0.747, 469.619
2, 17:48:58, 0.020, -0.020, 6.365, 0.719, 475.198
3, 17:48:59, -0.020, 0.000, 6.349, 0.713, 490.564
4, 17:49:00, 0.000, 0.000, 6.326, 0.678, 471.118
5, 17:49:01, 0.020, 0.000, 6.342, 0.702, 463.730
6, 17:49:02, -0.020, 0.020, 6.342, 0.718, 474.944
7, 17:49:03, 0.000, 0.020, 6.350, 0.708, 511.145
8, 17:49:03, 0.020, 0.020, 6.338, 0.682, 457.480
