ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:49:22, -0.020, -0.020, 6.347, 0.741, 475.490
1, 17:49:23, 0.000, -0.020, 6.370, 0.808, 427.418
2, 17:49:24, 0.020, -0.020, 6.369, 0.765, 457.540
3, 17:49:25, -0.020, 0.000, 6.357, 0.709, 482.000
4, 17:49:26, 0.000, 0.000, 6.338, 0.718, 432.261
5, 17:49:27, 0.020, 0.000, 6.330, 0.646, 466.077
6, 17:49:27, -0.020, 0.020, 6.365, 0.723, 438.138
7, 17:49:28, 0.000, 0.020, 6.396, 0.765, 432.401
8, 17:49:29, 0.020, 0.020, 6.334, 0.713, 380.698
