ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:33:33, -0.020, -0.020, 6.355, 0.761, 420.497
1, 14:33:34, 0.000, -0.020, 6.373, 0.801, 443.593
2, 14:33:35, 0.020, -0.020, 6.348, 0.740, 459.690
3, 14:33:36, -0.020, 0.000, 6.348, 0.752, 419.790
4, 14:33:37, 0.000, 0.000, 6.324, 0.717, 426.506
5, 14:33:38, 0.020, 0.000, 6.413, 0.828, 466.631
6, 14:33:39, -0.020, 0.020, 6.369, 0.807, 453.967
7, 14:33:39, 0.000, 0.020, 6.393, 0.763, 458.276
8, 14:33:40, 0.020, 0.020, 6.352, 0.740, 423.531
