ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:53:48, -0.020, -0.020, 6.255, 0.690, 158.761
1, 17:53:49, 0.000, -0.020, 6.252, 0.629, 144.985
2, 17:53:50, 0.020, -0.020, 6.268, 0.687, 91.785
3, 17:53:50, -0.020, 0.000, 6.282, 0.638, 110.559
4, 17:53:51, 0.000, 0.000, 6.256, 0.656, 100.368
5, 17:53:52, 0.020, 0.000, 6.255, 0.643, 111.927
6, 17:53:53, -0.020, 0.020, 6.275, 0.665, 117.036
7, 17:53:54, 0.000, 0.020, 6.264, 0.616, 93.673
8, 17:53:55, 0.020, 0.020, 6.259, 0.711, 132.826
