ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:36:49, -0.020, -0.020, 6.280, 0.762, 176.981
1, 14:36:50, 0.000, -0.020, 6.308, 0.792, 159.777
2, 14:36:51, 0.020, -0.020, 6.268, 0.704, 213.459
3, 14:36:52, -0.020, 0.000, 6.260, 0.686, 184.986
4, 14:36:53, 0.000, 0.000, 6.246, 0.704, 217.300
5, 14:36:54, 0.020, 0.000, 6.276, 0.710, 138.018
6, 14:36:55, -0.020, 0.020, 6.262, 0.677, 283.510
7, 14:36:56, 0.000, 0.020, 6.268, 0.714, 202.253
8, 14:36:57, 0.020, 0.020, 6.258, 0.717, 201.258
