ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:34:33, -0.020, -0.020, 6.405, 0.829, 322.056
1, 14:34:34, 0.000, -0.020, 6.404, 0.804, 262.062
2, 14:34:35, 0.020, -0.020, 6.366, 0.824, 278.862
3, 14:34:36, -0.020, 0.000, 6.345, 0.792, 278.515
4, 14:34:36, 0.000, 0.000, 6.329, 0.770, 359.285
5, 14:34:37, 0.020, 0.000, 6.446, 0.882, 358.943
6, 14:34:38, -0.020, 0.020, 6.373, 0.830, 445.706
7, 14:34:39, 0.000, 0.020, 6.386, 0.808, 453.032
8, 14:34:40, 0.020, 0.020, 6.382, 0.806, 330.038
