ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:50:05, -0.020, -0.020, 6.370, 0.800, 387.353
1, 17:50:06, 0.000, -0.020, 6.405, 0.833, 380.261
2, 17:50:07, 0.020, -0.020, 6.423, 0.805, 398.047
3, 17:50:08, -0.020, 0.000, 6.358, 0.730, 374.200
4, 17:50:08, 0.000, 0.000, 6.334, 0.727, 344.125
5, 17:50:09, 0.020, 0.000, 6.325, 0.734, 361.451
6, 17:50:10, -0.020, 0.020, 6.363, 0.722, 363.560
7, 17:50:11, 0.000, 0.020, 6.424, 0.793, 348.565
8, 17:50:12, 0.020, 0.020, 6.326, 0.748, 321.737
