ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:33:50, -0.020, -0.020, 6.372, 0.800, 408.341
1, 14:33:51, 0.000, -0.020, 6.396, 0.791, 414.485
2, 14:33:52, 0.020, -0.020, 6.361, 0.769, 435.203
3, 14:33:53, -0.020, 0.000, 6.351, 0.750, 396.471
4, 14:33:54, 0.000, 0.000, 6.347, 0.721, 406.900
5, 14:33:55, 0.020, 0.000, 6.437, 0.843, 450.138
6, 14:33:56, -0.020, 0.020, 6.411, 0.805, 441.679
7, 14:33:56, 0.000, 0.020, 6.399, 0.829, 420.542
8, 14:33:57, 0.020, 0.020, 6.361, 0.771, 381.646
