ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:56:28, -0.020, -0.020, 6.338, 0.716, 419.037
1, 17:56:29, 0.000, -0.020, 6.336, 0.683, 449.371
2, 17:56:30, 0.020, -0.020, 6.327, 0.708, 450.518
3, 17:56:31, -0.020, 0.000, 6.341, 0.686, 447.175
4, 17:56:32, 0.000, 0.000, 6.348, 0.695, 440.188
5, 17:56:33, 0.020, 0.000, 6.328, 0.721, 454.077
6, 17:56:34, -0.020, 0.020, 6.325, 0.695, 466.402
7, 17:56:35, 0.000, 0.020, 6.341, 0.728, 459.375
8, 17:56:36, 0.020, 0.020, 6.335, 0.706, 469.530
