ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:51:03, -0.020, -0.020, 6.270, 0.706, 153.950
1, 19:51:04, 0.000, -0.020, 6.260, 0.685, 187.796
2, 19:51:05, 0.020, -0.020, 6.303, 0.705, 111.609
3, 19:51:05, -0.020, 0.000, 6.292, 0.685, 116.234
4, 19:51:06, 0.000, 0.000, 6.276, 0.698, 119.047
5, 19:51:07, 0.020, 0.000, 6.261, 0.706, 135.705
6, 19:51:08, -0.020, 0.020, 6.272, 0.720, 101.489
7, 19:51:09, 0.000, 0.020, 6.286, 0.688, 108.810
8, 19:51:10, 0.020, 0.020, 6.274, 0.739, 92.101
