ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:32:51, -0.020, -0.020, 6.333, 0.730, 426.552
1, 14:32:51, 0.000, -0.020, 6.347, 0.656, 492.283
2, 14:32:52, 0.020, -0.020, 6.317, 0.690, 460.669
3, 14:32:53, -0.020, 0.000, 6.334, 0.730, 450.584
4, 14:32:54, 0.000, 0.000, 6.334, 0.733, 438.304
5, 14:32:55, 0.020, 0.000, 6.350, 0.716, 473.046
6, 14:32:56, -0.020, 0.020, 6.330, 0.715, 471.846
7, 14:32:57, 0.000, 0.020, 6.350, 0.755, 445.802
8, 14:32:58, 0.020, 0.020, 6.332, 0.770, 443.408
