ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:48:46, -0.020, -0.020, 6.361, 0.759, 241.082
1, 19:48:46, 0.000, -0.020, 6.374, 0.788, 287.024
2, 19:48:47, 0.020, -0.020, 6.349, 0.715, 296.860
3, 19:48:48, -0.020, 0.000, 6.344, 0.735, 263.364
4, 19:48:49, 0.000, 0.000, 6.322, 0.699, 302.275
5, 19:48:50, 0.020, 0.000, 6.366, 0.765, 266.337
6, 19:48:51, -0.020, 0.020, 6.320, 0.677, 295.274
7, 19:48:52, 0.000, 0.020, 6.323, 0.748, 258.657
8, 19:48:53, 0.020, 0.020, 6.339, 0.720, 286.070
