ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:49:13, -0.020, -0.020, 6.347, 0.697, 490.738
1, 17:49:14, 0.000, -0.020, 6.373, 0.757, 455.588
2, 17:49:15, 0.020, -0.020, 6.380, 0.732, 478.290
3, 17:49:16, -0.020, 0.000, 6.357, 0.709, 482.105
4, 17:49:17, 0.000, 0.000, 6.325, 0.713, 463.749
5, 17:49:18, 0.020, 0.000, 6.336, 0.684, 478.447
6, 17:49:19, -0.020, 0.020, 6.360, 0.704, 495.976
7, 17:49:20, 0.000, 0.020, 6.380, 0.758, 509.922
8, 17:49:21, 0.020, 0.020, 6.342, 0.685, 456.297
