ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:59:03, -0.020, -0.020, 6.309, 0.736, 351.618
1, 17:59:04, 0.000, -0.020, 6.297, 0.678, 322.792
2, 17:59:05, 0.020, -0.020, 6.308, 0.733, 323.024
3, 17:59:06, -0.020, 0.000, 6.286, 0.706, 300.232
4, 17:59:07, 0.000, 0.000, 6.317, 0.748, 171.798
5, 17:59:08, 0.020, 0.000, 6.299, 0.743, 236.309
6, 17:59:08, -0.020, 0.020, 6.287, 0.722, 339.233
7, 17:59:09, 0.000, 0.020, 6.294, 0.721, 353.190
8, 17:59:10, 0.020, 0.020, 6.284, 0.741, 330.419
