ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:48:31, -0.020, -0.020, 6.324, 0.711, 423.254
1, 17:48:32, 0.000, -0.020, 6.345, 0.721, 423.647
2, 17:48:33, 0.020, -0.020, 6.343, 0.704, 426.460
3, 17:48:33, -0.020, 0.000, 6.347, 0.695, 458.855
4, 17:48:34, 0.000, 0.000, 6.325, 0.665, 456.992
5, 17:48:35, 0.020, 0.000, 6.330, 0.702, 437.611
6, 17:48:36, -0.020, 0.020, 6.332, 0.717, 425.821
7, 17:48:37, 0.000, 0.020, 6.340, 0.705, 452.928
8, 17:48:38, 0.020, 0.020, 6.328, 0.678, 434.052
