ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:57:37, -0.020, -0.020, 6.406, 0.806, 398.646
1, 17:57:38, 0.000, -0.020, 6.384, 0.737, 413.464
2, 17:57:39, 0.020, -0.020, 6.388, 0.790, 406.037
3, 17:57:40, -0.020, 0.000, 6.376, 0.763, 380.456
4, 17:57:41, 0.000, 0.000, 6.375, 0.768, 389.724
5, 17:57:42, 0.020, 0.000, 6.359, 0.728, 401.897
6, 17:57:43, -0.020, 0.020, 6.356, 0.766, 429.874
7, 17:57:43, 0.000, 0.020, 6.376, 0.814, 404.522
8, 17:57:44, 0.020, 0.020, 6.387, 0.823, 374.550
