ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:50:13, -0.020, -0.020, 6.374, 0.803, 351.034
1, 17:50:14, 0.000, -0.020, 6.387, 0.834, 366.121
2, 17:50:15, 0.020, -0.020, 6.435, 0.824, 378.456
3, 17:50:16, -0.020, 0.000, 6.360, 0.756, 337.556
4, 17:50:17, 0.000, 0.000, 6.318, 0.728, 354.344
5, 17:50:18, 0.020, 0.000, 6.326, 0.675, 371.774
6, 17:50:19, -0.020, 0.020, 6.353, 0.739, 344.672
7, 17:50:20, 0.000, 0.020, 6.428, 0.812, 336.932
8, 17:50:21, 0.020, 0.020, 6.327, 0.722, 344.950
