ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:48:48, -0.020, -0.020, 6.329, 0.687, 485.166
1, 17:48:49, 0.000, -0.020, 6.332, 0.697, 494.941
2, 17:48:50, 0.020, -0.020, 6.345, 0.720, 481.257
3, 17:48:50, -0.020, 0.000, 6.336, 0.695, 502.315
4, 17:48:51, 0.000, 0.000, 6.326, 0.672, 497.100
5, 17:48:52, 0.020, 0.000, 6.346, 0.682, 488.485
6, 17:48:53, -0.020, 0.020, 6.337, 0.695, 498.693
7, 17:48:54, 0.000, 0.020, 6.353, 0.687, 522.261
8, 17:48:55, 0.020, 0.020, 6.331, 0.673, 484.548
