ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:52:22, -0.020, -0.020, 6.264, 0.697, 225.017
1, 17:52:23, 0.000, -0.020, 6.261, 0.660, 262.352
2, 17:52:24, 0.020, -0.020, 6.275, 0.699, 149.588
3, 17:52:25, -0.020, 0.000, 6.297, 0.739, 136.076
4, 17:52:26, 0.000, 0.000, 6.280, 0.649, 156.212
5, 17:52:26, 0.020, 0.000, 6.286, 0.686, 145.183
6, 17:52:27, -0.020, 0.020, 6.272, 0.757, 118.011
7, 17:52:28, 0.000, 0.020, 6.275, 0.730, 134.230
8, 17:52:29, 0.020, 0.020, 6.276, 0.726, 137.700
