ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:50:11, -0.020, -0.020, 6.279, 0.708, 191.090
1, 19:50:12, 0.000, -0.020, 6.291, 0.688, 210.396
2, 19:50:13, 0.020, -0.020, 6.295, 0.659, 157.600
3, 19:50:14, -0.020, 0.000, 6.292, 0.712, 166.596
4, 19:50:15, 0.000, 0.000, 6.287, 0.700, 159.170
5, 19:50:16, 0.020, 0.000, 6.308, 0.714, 180.474
6, 19:50:17, -0.020, 0.020, 6.298, 0.681, 158.592
7, 19:50:18, 0.000, 0.020, 6.277, 0.708, 135.276
8, 19:50:18, 0.020, 0.020, 6.293, 0.692, 166.597
