ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:51:29, -0.020, -0.020, 6.266, 0.643, 138.325
1, 19:51:29, 0.000, -0.020, 6.267, 0.690, 154.541
2, 19:51:30, 0.020, -0.020, 6.287, 0.674, 83.701
3, 19:51:31, -0.020, 0.000, 6.280, 0.663, 97.832
4, 19:51:32, 0.000, 0.000, 6.265, 0.677, 109.594
5, 19:51:33, 0.020, 0.000, 6.275, 0.738, 137.409
6, 19:51:34, -0.020, 0.020, 6.260, 0.656, 112.057
7, 19:51:35, 0.000, 0.020, 6.257, 0.679, 107.991
8, 19:51:36, 0.020, 0.020, 6.265, 0.711, 98.840
