ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:53:22, -0.020, -0.020, 6.249, 0.656, 197.002
1, 17:53:23, 0.000, -0.020, 6.277, 0.650, 160.208
2, 17:53:24, 0.020, -0.020, 6.292, 0.674, 109.326
3, 17:53:25, -0.020, 0.000, 6.253, 0.665, 130.853
4, 17:53:25, 0.000, 0.000, 6.260, 0.664, 112.899
5, 17:53:26, 0.020, 0.000, 6.278, 0.701, 107.207
6, 17:53:27, -0.020, 0.020, 6.249, 0.694, 105.621
7, 17:53:28, 0.000, 0.020, 6.297, 0.653, 91.188
8, 17:53:29, 0.020, 0.020, 6.258, 0.728, 115.372
