ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:51:13, -0.020, -0.020, 6.278, 0.702, 286.410
1, 17:51:14, 0.000, -0.020, 6.295, 0.730, 342.820
2, 17:51:15, 0.020, -0.020, 6.340, 0.750, 241.851
3, 17:51:16, -0.020, 0.000, 6.288, 0.680, 232.013
4, 17:51:17, 0.000, 0.000, 6.307, 0.665, 290.327
5, 17:51:18, 0.020, 0.000, 6.304, 0.662, 253.485
6, 17:51:19, -0.020, 0.020, 6.305, 0.713, 251.872
7, 17:51:20, 0.000, 0.020, 6.317, 0.741, 242.086
8, 17:51:21, 0.020, 0.020, 6.292, 0.723, 247.547
