ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:47:03, -0.020, -0.020, 6.325, 0.686, 294.620
1, 19:47:04, 0.000, -0.020, 6.323, 0.695, 301.530
2, 19:47:05, 0.020, -0.020, 6.342, 0.673, 322.718
3, 19:47:06, -0.020, 0.000, 6.322, 0.687, 318.811
4, 19:47:06, 0.000, 0.000, 6.336, 0.674, 337.700
5, 19:47:07, 0.020, 0.000, 6.333, 0.687, 331.752
6, 19:47:08, -0.020, 0.020, 6.330, 0.649, 333.412
7, 19:47:09, 0.000, 0.020, 6.329, 0.674, 322.463
8, 19:47:10, 0.020, 0.020, 6.312, 0.680, 312.148
