ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 18:01:37, -0.020, -0.020, 6.242, 0.716, 168.636
1, 18:01:38, 0.000, -0.020, 6.229, 0.714, 119.985
2, 18:01:39, 0.020, -0.020, 6.287, 0.698, 97.990
3, 18:01:40, -0.020, 0.000, 6.265, 0.678, 172.563
4, 18:01:41, 0.000, 0.000, 6.257, 0.657, 128.262
5, 18:01:42, 0.020, 0.000, 6.265, 0.695, 169.679
6, 18:01:43, -0.020, 0.020, 6.254, 0.675, 208.472
7, 18:01:44, 0.000, 0.020, 6.234, 0.692, 182.691
8, 18:01:44, 0.020, 0.020, 6.257, 0.681, 134.501
