ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 18:00:37, -0.020, -0.020, 6.259, 0.684, 257.733
1, 18:00:38, 0.000, -0.020, 6.267, 0.702, 167.876
2, 18:00:39, 0.020, -0.020, 6.266, 0.669, 198.651
3, 18:00:40, -0.020, 0.000, 6.251, 0.697, 217.140
4, 18:00:41, 0.000, 0.000, 6.278, 0.765, 130.938
5, 18:00:42, 0.020, 0.000, 6.268, 0.651, 216.771
6, 18:00:43, -0.020, 0.020, 6.261, 0.654, 232.880
7, 18:00:44, 0.000, 0.020, 6.264, 0.686, 176.703
8, 18:00:44, 0.020, 0.020, 6.277, 0.692, 156.613
