ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:56:54, -0.020, -0.020, 6.351, 0.731, 430.609
1, 17:56:55, 0.000, -0.020, 6.337, 0.672, 441.710
2, 17:56:56, 0.020, -0.020, 6.335, 0.680, 453.127
3, 17:56:57, -0.020, 0.000, 6.335, 0.682, 435.071
4, 17:56:58, 0.000, 0.000, 6.357, 0.703, 432.360
5, 17:56:59, 0.020, 0.000, 6.333, 0.731, 423.384
6, 17:57:00, -0.020, 0.020, 6.340, 0.690, 446.332
7, 17:57:01, 0.000, 0.020, 6.340, 0.732, 432.805
8, 17:57:01, 0.020, 0.020, 6.347, 0.753, 415.376
