ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:51:11, -0.020, -0.020, 6.260, 0.708, 129.237
1, 19:51:12, 0.000, -0.020, 6.249, 0.663, 188.088
2, 19:51:13, 0.020, -0.020, 6.292, 0.717, 103.290
3, 19:51:14, -0.020, 0.000, 6.286, 0.634, 119.872
4, 19:51:15, 0.000, 0.000, 6.274, 0.686, 124.466
5, 19:51:16, 0.020, 0.000, 6.287, 0.649, 149.336
6, 19:51:17, -0.020, 0.020, 6.275, 0.657, 107.559
7, 19:51:18, 0.000, 0.020, 6.279, 0.626, 123.005
8, 19:51:18, 0.020, 0.020, 6.275, 0.669, 99.415
