ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:51:20, -0.020, -0.020, 6.260, 0.644, 131.561
1, 19:51:21, 0.000, -0.020, 6.254, 0.658, 161.999
2, 19:51:22, 0.020, -0.020, 6.263, 0.644, 97.075
3, 19:51:23, -0.020, 0.000, 6.253, 0.719, 93.783
4, 19:51:23, 0.000, 0.000, 6.267, 0.702, 102.500
5, 19:51:24, 0.020, 0.000, 6.268, 0.682, 134.075
6, 19:51:25, -0.020, 0.020, 6.283, 0.684, 97.081
7, 19:51:26, 0.000, 0.020, 6.277, 0.715, 104.497
8, 19:51:27, 0.020, 0.020, 6.259, 0.695, 104.427
