ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:51:37, -0.020, -0.020, 6.252, 0.650, 136.874
1, 19:51:38, 0.000, -0.020, 6.246, 0.662, 177.385
2, 19:51:39, 0.020, -0.020, 6.280, 0.687, 101.208
3, 19:51:40, -0.020, 0.000, 6.280, 0.707, 99.119
4, 19:51:41, 0.000, 0.000, 6.263, 0.625, 120.976
5, 19:51:42, 0.020, 0.000, 6.245, 0.689, 131.337
6, 19:51:42, -0.020, 0.020, 6.266, 0.716, 93.146
7, 19:51:43, 0.000, 0.020, 6.285, 0.690, 98.544
8, 19:51:44, 0.020, 0.020, 6.244, 0.692, 101.469
