ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:58:12, -0.020, -0.020, 6.421, 0.794, 400.104
1, 17:58:12, 0.000, -0.020, 6.389, 0.766, 409.710
2, 17:58:13, 0.020, -0.020, 6.389, 0.844, 403.767
3, 17:58:14, -0.020, 0.000, 6.368, 0.772, 363.916
4, 17:58:15, 0.000, 0.000, 6.361, 0.781, 309.437
5, 17:58:16, 0.020, 0.000, 6.345, 0.765, 347.579
6, 17:58:17, -0.020, 0.020, 6.362, 0.791, 432.143
7, 17:58:18, 0.000, 0.020, 6.368, 0.774, 398.724
8, 17:58:19, 0.020, 0.020, 6.380, 0.809, 395.073
