ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:50:22, -0.020, -0.020, 6.367, 0.790, 337.050
1, 17:50:23, 0.000, -0.020, 6.374, 0.794, 412.054
2, 17:50:24, 0.020, -0.020, 6.415, 0.815, 396.735
3, 17:50:25, -0.020, 0.000, 6.341, 0.740, 340.772
4, 17:50:26, 0.000, 0.000, 6.319, 0.730, 373.436
5, 17:50:27, 0.020, 0.000, 6.328, 0.685, 362.508
6, 17:50:27, -0.020, 0.020, 6.347, 0.717, 360.837
7, 17:50:28, 0.000, 0.020, 6.388, 0.782, 329.509
8, 17:50:29, 0.020, 0.020, 6.332, 0.726, 330.998
