ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 14:31:34, -0.020, -0.020, 6.318, 0.723, 434.985
1, 14:31:35, 0.000, -0.020, 6.320, 0.722, 449.355
2, 14:31:36, 0.020, -0.020, 6.305, 0.685, 478.801
3, 14:31:36, -0.020, 0.000, 6.314, 0.664, 502.063
4, 14:31:37, 0.000, 0.000, 6.323, 0.673, 527.416
5, 14:31:38, 0.020, 0.000, 6.314, 0.676, 530.798
6, 14:31:39, -0.020, 0.020, 6.315, 0.680, 538.289
7, 14:31:40, 0.000, 0.020, 6.312, 0.686, 532.626
8, 14:31:41, 0.020, 0.020, 6.323, 0.646, 564.970
