ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:53:13, -0.020, -0.020, 6.272, 0.650, 205.500
1, 17:53:14, 0.000, -0.020, 6.255, 0.669, 175.133
2, 17:53:15, 0.020, -0.020, 6.281, 0.686, 111.232
3, 17:53:16, -0.020, 0.000, 6.229, 0.654, 133.783
4, 17:53:17, 0.000, 0.000, 6.264, 0.649, 128.843
5, 17:53:18, 0.020, 0.000, 6.286, 0.671, 131.393
6, 17:53:19, -0.020, 0.020, 6.274, 0.700, 112.534
7, 17:53:20, 0.000, 0.020, 6.288, 0.728, 104.704
8, 17:53:20, 0.020, 0.020, 6.267, 0.662, 151.117
