ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:52:13, -0.020, -0.020, 6.263, 0.640, 216.237
1, 17:52:14, 0.000, -0.020, 6.253, 0.663, 253.848
2, 17:52:15, 0.020, -0.020, 6.289, 0.750, 144.913
3, 17:52:16, -0.020, 0.000, 6.291, 0.648, 157.029
4, 17:52:17, 0.000, 0.000, 6.288, 0.688, 156.669
5, 17:52:18, 0.020, 0.000, 6.279, 0.736, 146.865
6, 17:52:19, -0.020, 0.020, 6.296, 0.722, 130.987
7, 17:52:20, 0.000, 0.020, 6.303, 0.707, 146.987
8, 17:52:20, 0.020, 0.020, 6.299, 0.655, 167.678
