ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 19:48:03, -0.020, -0.020, 6.330, 0.691, 296.780
1, 19:48:04, 0.000, -0.020, 6.339, 0.731, 286.215
2, 19:48:05, 0.020, -0.020, 6.339, 0.669, 289.742
3, 19:48:05, -0.020, 0.000, 6.345, 0.695, 288.811
4, 19:48:06, 0.000, 0.000, 6.337, 0.692, 302.316
5, 19:48:07, 0.020, 0.000, 6.339, 0.661, 317.295
6, 19:48:08, -0.020, 0.020, 6.324, 0.696, 296.486
7, 19:48:09, 0.000, 0.020, 6.334, 0.701, 304.072
8, 19:48:10, 0.020, 0.020, 6.338, 0.674, 311.000
