ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:56:20, -0.020, -0.020, 6.328, 0.684, 479.804
1, 17:56:21, 0.000, -0.020, 6.344, 0.697, 479.937
2, 17:56:22, 0.020, -0.020, 6.331, 0.684, 491.919
3, 17:56:23, -0.020, 0.000, 6.327, 0.734, 459.365
4, 17:56:23, 0.000, 0.000, 6.334, 0.690, 470.469
5, 17:56:24, 0.020, 0.000, 6.332, 0.696, 471.401
6, 17:56:25, -0.020, 0.020, 6.336, 0.716, 439.376
7, 17:56:26, 0.000, 0.020, 6.333, 0.716, 416.561
8, 17:56:27, 0.020, 0.020, 6.326, 0.689, 421.234
