[Scan Fitting Parameters]
Saturation = 55000
Threshold = 100
Fitting Type = 0
Left Center, nm = 659.978888
Right Center, nm = 659.997339
Width, pm = 4.653215
Laser Wavelength, nm = 659.988114

[Scan Pattern]
X Center, px = 2192
Y Center, px = 912
