ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 17:48:22, -0.020, -0.020, 6.327, 0.680, 495.207
1, 17:48:23, 0.000, -0.020, 6.341, 0.689, 488.502
2, 17:48:24, 0.020, -0.020, 6.343, 0.687, 490.556
3, 17:48:25, -0.020, 0.000, 6.338, 0.680, 503.033
4, 17:48:26, 0.000, 0.000, 6.333, 0.691, 483.570
5, 17:48:27, 0.020, 0.000, 6.334, 0.676, 468.546
6, 17:48:27, -0.020, 0.020, 6.326, 0.668, 461.038
7, 17:48:28, 0.000, 0.020, 6.342, 0.690, 462.989
8, 17:48:29, 0.020, 0.020, 6.334, 0.679, 435.660
